City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Piacabucu,BR,78.55,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
13,Faanui,PF,78.24,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
18,Hambantota,LK,76.55,overcast clouds,6.1241,81.1185,Bungalow 63
30,Bengkulu,ID,75.67,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
31,Yenagoa,NG,76.73,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
33,Lazaro Cardenas,MX,84.74,overcast clouds,17.9583,-102.2,quinta antigua
42,Borba,BR,85.19,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
43,Chuy,UY,80.55,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
45,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
47,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
50,Cidreira,BR,75.09,clear sky,-30.1811,-50.2056,Hotel Castelo
54,Arlit,NE,88.92,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
55,Atuona,PF,77.34,clear sky,-9.8,-139.0333,Villa Enata
61,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
63,Guarapari,BR,76.89,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
64,Rocha,UY,81.61,clear sky,-34.4833,-54.3333,Beleza Pura B&B
68,Yaan,NG,76.3,few clouds,7.3833,8.5667,
72,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
80,Iberia,US,84.97,broken clouds,29.9502,-91.7507,back to back rv park
81,Hithadhoo,MV,83.12,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Butaritari,KI,82.47,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
87,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
92,Estelle,US,84.99,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
94,Victoria,HK,78.33,light rain,22.2855,114.1577,Mini Hotel Central
95,Viedma,AR,87.37,clear sky,-40.8135,-62.9967,Hotel Cristal
98,Port Blair,IN,80.37,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
99,Biak,ID,76.44,broken clouds,-0.9131,122.8766,Penginapan Kim
100,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
110,Banda Aceh,ID,78.64,overcast clouds,5.5577,95.3222,Sulthan Hotel International
111,Shreveport,US,84.04,overcast clouds,32.5251,-93.7502,Eldorado Resort Casino Shreveport
119,Tarakan,ID,79.99,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
123,Carutapera,BR,83.55,few clouds,-1.195,-46.02,Lidera
127,Cockburn Town,TC,82.53,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
134,Auki,SB,79.34,broken clouds,-8.7676,160.7034,Auki Motel
137,Atambua,ID,75.88,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
138,Sumbe,AO,75.34,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
140,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
143,Sao Filipe,CV,79.45,broken clouds,14.8961,-24.4956,Hotel Xaguate
144,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
146,Labrea,BR,89.62,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
148,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,
149,Boyolangu,ID,76.15,overcast clouds,-8.1181,111.8935,Yos ega cv
150,Potiskum,NG,84.7,broken clouds,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
153,Butterworth,MY,78.84,scattered clouds,5.3991,100.3638,Cititel Penang
154,Harper,LR,77.56,overcast clouds,4.375,-7.7169,Screensaver
160,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
165,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
169,Moctezuma,MX,80.29,clear sky,29.8,-109.6667,Hotel Lobohombo
170,Adre,TD,83.61,scattered clouds,13.4667,22.2,
172,Lorengau,PG,81.45,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
173,Vanimo,PG,76.71,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
174,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
175,Wahiawa,US,79.12,clear sky,21.5028,-158.0236,Aloha Wahiawa
181,San Patricio,US,89.06,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
184,Keti Bandar,PK,78.53,clear sky,24.1447,67.4497,Haji laloo memon house
188,Umm Lajj,SA,79.48,clear sky,25.0213,37.2685,Moon light Furnished Units
189,Ko Samui,TH,81.48,overcast clouds,9.5357,99.9357,The Passage
190,Jieshi,CN,75.94,light rain,22.8134,115.8257,Yuehai Hotel
192,Venado,MX,77.31,overcast clouds,22.9333,-101.0833,Arnecom
201,San Jeronimito,MX,84.43,overcast clouds,17.55,-101.3333,Quinta Mamá Pía
203,Esmeraldas,BR,80.71,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
205,Kita,ML,82.13,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
208,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
211,Namatanai,PG,80.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
