City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.86,80,100,18.63,light rain
1,Kapaa,US,22.0752,-159.319,80.58,76,1,3.0,clear sky
2,Portland,US,45.5234,-122.6762,57.36,86,90,3.0,light rain
3,Port Alfred,ZA,-33.5906,26.891,66.56,82,85,29.17,overcast clouds
4,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,20,14.79,few clouds
5,Saskylakh,RU,71.9167,114.0833,0.39,98,100,1.57,overcast clouds
6,Luena,AO,-11.7833,19.9167,62.58,94,99,1.07,moderate rain
7,Esperance,AU,-33.8667,121.9,48.04,91,5,12.64,clear sky
8,East London,ZA,-33.0153,27.9116,66.88,81,86,20.22,overcast clouds
9,Ilulissat,GL,69.2167,-51.1,14.02,52,20,3.44,few clouds
10,Severnoye,RU,56.3491,78.3619,28.83,70,77,16.51,broken clouds
11,Piacabucu,BR,-10.4056,-36.4344,78.55,78,37,11.07,scattered clouds
12,Saint-Philippe,RE,-21.3585,55.7679,71.15,82,20,11.97,few clouds
13,Faanui,PF,-16.4833,-151.75,78.24,77,66,8.43,broken clouds
14,Koch Bihar,IN,26.3167,89.4333,69.44,85,0,3.04,clear sky
15,Atlantic City,US,39.3643,-74.4229,67.01,71,90,16.11,overcast clouds
16,Hilo,US,19.7297,-155.09,80.26,67,1,4.61,clear sky
17,Ushuaia,AR,-54.8,-68.3,47.82,71,75,24.16,light intensity drizzle
18,Hambantota,LK,6.1241,81.1185,76.55,87,100,6.38,overcast clouds
19,Orange,US,33.7,-117.7675,71.78,64,20,1.99,few clouds
20,Saint George,US,37.1041,-113.5841,62.64,36,1,5.99,clear sky
21,San Luis,AR,-33.295,-66.3356,94.37,7,6,18.66,clear sky
22,Hervey Bay,AU,-25.2986,152.8535,74.01,85,7,5.66,clear sky
23,Ponta Do Sol,PT,32.6667,-17.1,70.43,63,9,5.17,clear sky
24,Zarautz,ES,43.2844,-2.1699,60.21,84,18,3.49,few clouds
25,Athabasca,CA,54.7169,-113.2854,48.61,36,90,7.05,overcast clouds
26,Port Elizabeth,ZA,-33.918,25.5701,68.09,82,90,18.41,overcast clouds
27,Aranos,NA,-24.1333,19.1167,78.96,9,20,9.24,few clouds
28,Punta Arenas,CL,-53.15,-70.9167,51.91,58,0,39.12,clear sky
29,Carnarvon,AU,-24.8667,113.6333,66.27,52,90,8.05,overcast clouds
30,Bengkulu,ID,-3.8004,102.2655,75.67,89,100,5.97,moderate rain
31,Yenagoa,NG,4.9247,6.2642,76.73,88,35,4.07,scattered clouds
32,Iqaluit,CA,63.7506,-68.5145,33.53,74,75,8.99,broken clouds
33,Lazaro Cardenas,MX,17.9583,-102.2,84.74,71,93,4.56,overcast clouds
34,Bundaberg,AU,-24.85,152.35,71.22,95,30,1.01,scattered clouds
35,Tasiilaq,GL,65.6145,-37.6368,33.06,87,100,3.04,light snow
36,Hermanus,ZA,-34.4187,19.2345,64.8,83,100,17.36,overcast clouds
37,Hofn,IS,64.2539,-15.2082,41.14,93,100,29.24,heavy intensity rain
38,Hobart,AU,-42.8794,147.3294,43.27,92,20,3.0,few clouds
39,Challans,FR,46.8436,-1.8749,53.51,89,100,5.32,overcast clouds
40,Mataura,NZ,-46.1927,168.8643,52.88,97,97,0.87,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,42.91,81,13,2.42,few clouds
42,Borba,BR,-4.3878,-59.5939,85.19,75,99,3.06,overcast clouds
