City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hailar,CN,2021-10-25 17:02:36,49.2,119.7,33.73,80,81,7.99
1,Iqaluit,CA,2021-10-25 17:03:35,63.7506,-68.5145,31.66,77,93,5.28
2,Punta Arenas,CL,2021-10-25 17:05:32,-53.15,-70.9167,42.82,70,40,26.46
3,Saint-Joseph,RE,2021-10-25 17:05:32,-21.3667,55.6167,73.78,79,33,12.95
4,Labuan,MY,2021-10-25 17:05:33,5.2767,115.2417,78.96,79,100,2.89
5,Maningrida,AU,2021-10-25 17:05:34,-12.0667,134.2667,80.91,78,99,5.21
6,Tiksi,RU,2021-10-25 17:04:46,71.6872,128.8694,2.03,96,100,4.25
7,Rikitea,PF,2021-10-25 17:02:05,-23.1203,-134.9692,74.62,73,100,19.15
8,Bluff,NZ,2021-10-25 17:05:35,-46.6,168.3333,51.67,93,98,7.4
9,Atuona,PF,2021-10-25 17:04:30,-9.8,-139.0333,77.13,77,72,15.93
10,Nanortalik,GL,2021-10-25 17:05:36,60.1432,-45.2371,32.52,67,24,7.2
11,Aksu,CN,2021-10-25 17:01:17,41.1231,80.2644,50.47,39,4,2.91
12,Joshimath,IN,2021-10-25 17:05:37,30.5667,79.5667,51.66,52,12,5.97
13,Kaeo,NZ,2021-10-25 17:05:38,-35.1,173.7833,60.33,96,54,2.91
14,Saldanha,ZA,2021-10-25 17:05:38,-33.0117,17.9442,62.58,80,1,14.05
15,Cherskiy,RU,2021-10-25 17:05:39,68.75,161.3,-15.79,98,97,1.5
16,Ushuaia,AR,2021-10-25 17:01:16,-54.8,-68.3,33.46,86,40,31.07
17,Muros,ES,2021-10-25 17:05:39,42.7762,-9.0603,64.09,84,20,8.72
18,Denpasar,ID,2021-10-25 17:05:40,-8.65,115.2167,82.06,74,40,2.3
19,Bilibino,RU,2021-10-25 17:05:40,68.0546,166.4372,-18.89,95,81,3.09
20,Praia Da Vitoria,PT,2021-10-25 17:05:40,38.7333,-27.0667,71.76,76,70,7.96
21,Tasiilaq,GL,2021-10-25 17:05:41,65.6145,-37.6368,31.06,80,100,22.48
22,Jamestown,US,2021-10-25 17:03:51,42.097,-79.2353,70.09,67,90,7.0
23,Provideniya,RU,2021-10-25 17:05:42,64.3833,-173.3,15.64,86,68,7.38
24,Port Alfred,ZA,2021-10-25 17:03:50,-33.5906,26.891,64.92,77,48,23.85
25,Kavieng,PG,2021-10-25 17:05:44,-2.5744,150.7967,81.32,76,10,4.68
26,Tautira,PF,2021-10-25 17:05:44,-17.7333,-149.15,75.22,79,86,4.21
27,Tilichiki,RU,2021-10-25 17:05:45,60.4667,166.1,19.35,98,100,5.32
28,Muhos,FI,2021-10-25 17:05:46,64.808,25.9931,38.7,99,100,5.3
29,Georgetown,MY,2021-10-25 17:01:26,5.4112,100.3354,82.33,86,20,0.0
30,Vaini,TO,2021-10-25 17:05:46,-21.2,-175.2,71.76,88,20,4.61
31,Hermanus,ZA,2021-10-25 17:03:52,-34.4187,19.2345,63.81,71,71,17.9
32,East London,ZA,2021-10-25 17:05:47,-33.0153,27.9116,65.48,75,64,20.36
33,Bay Roberts,CA,2021-10-25 17:05:48,47.5999,-53.2648,45.52,82,99,10.0
34,Ulaangom,MN,2021-10-25 17:05:49,49.9811,92.0667,33.26,76,21,2.68
35,Egvekinot,RU,2021-10-25 17:05:50,66.3167,-179.1667,0.25,88,48,7.9
36,Kenai,US,2021-10-25 17:05:50,60.5544,-151.2583,38.14,98,90,3.44
37,Ampanihy,MG,2021-10-25 17:05:51,-24.7,44.75,76.1,78,2,9.62
38,Ust-Tarka,RU,2021-10-25 17:05:51,55.5672,75.705,43.52,67,100,5.86
39,San-Pedro,CI,2021-10-25 17:05:52,4.7485,-6.6363,80.19,78,97,10.0
40,Kodiak,US,2021-10-25 17:05:53,57.79,-152.4072,40.51,81,1,12.66
41,Albany,US,2021-10-25 17:05:53,42.6001,-73.9662,63.59,93,100,3.87
42,Sulangan,PH,2021-10-25 17:05:54,11.1373,123.7228,82.67,78,96,10.67
43,Lebu,CL,2021-10-25 17:05:55,-37.6167,-73.65,57.61,72,27,11.92
44,Kapaa,US,2021-10-25 17:05:56,22.0752,-159.319,73.72,89,1,12.66
45,Qaanaaq,GL,2021-10-25 17:05:56,77.484,-69.3632,-2.51,58,14,12.37
46,Ilulissat,GL,2021-10-25 17:01:17,69.2167,-51.1,19.42,58,20,6.91
47,Nantucket,US,2021-10-25 17:01:05,41.2835,-70.0995,69.04,89,100,19.26
